model,dimension,subgroup,N,success_count,success_rate,mean_score,adjudicated_success_count,adjudicated_success_rate,adjudicated_mean_score,average_steps,median_steps,average_duration,median_duration,step_limit_reached,wall_time_limit_reached,budget_exhaustion,declared_complete_but_failed,failed_N,failed_with_positive_score,mean_failed_score,failed_with_any_satisfied_scoring_condition,mean_failed_scoring_condition_fraction
gpt-5.5,task_category,linux_smarthome,30,11,0.36666666666666664,0.6583333333333333,11,0.36666666666666664,0.6583333333333333,6.033333333333333,6.5,391.71413333333334,352.406,0,0,0,19,19,17,0.4605263157894737,18,0.4868421052631579
gpt-5.5,task_category,real100_cross_device,8,2,0.25,0.25,2,0.25,0.25,28.5,31.0,901.734125,701.41,2,2,4,2,6,0,0.0,0,0.0
gpt-5.5,task_category,real200_cross_device,10,3,0.3,0.45,3,0.3,0.45,26.4,23.5,998.4132,715.6179999999999,2,3,5,2,7,3,0.21428571428571427,3,0.21428571428571427
gpt-5.5,task_category,real300_cross_device,12,2,0.16666666666666666,0.3472222222222222,2,0.16666666666666666,0.3472222222222222,25.5,18.0,886.9083333333333,650.7864999999999,4,0,4,6,10,4,0.21666666666666667,4,0.21666666666666667
gpt-5.5,manifest_family,android_only,15,2,0.13333333333333333,0.31666666666666665,2,0.13333333333333333,0.31666666666666665,48.8,50,831.9506666666666,781.388,13,0,13,0,13,5,0.21153846153846154,5,0.21153846153846154
gpt-5.5,manifest_family,android_smarthome,25,3,0.12,0.6133333333333333,3,0.12,0.6133333333333333,25.44,22,504.5924,528.147,7,0,7,15,22,21,0.5606060606060606,21,0.5606060606060606
gpt-5.5,manifest_family,linux_android,45,12,0.26666666666666666,0.46444444444444444,12,0.26666666666666666,0.46444444444444444,20.622222222222224,13,1015.6735333333334,904.402,5,7,12,21,33,18,0.2696969696969697,18,0.2696969696969697
gpt-5.5,manifest_family,linux_android_smarthome,30,6,0.2,0.5527777777777778,7,0.23333333333333334,0.5638888888888889,27.5,28.5,1104.9878,1104.2965,2,4,6,18,24,19,0.4409722222222222,19,0.4409722222222222
gpt-5.5,manifest_family,linux_only,15,12,0.8,0.8555555555555555,12,0.8,0.8555555555555555,4.4,4,333.98153333333335,279.571,0,0,0,3,3,2,0.2777777777777778,2,0.2777777777777778
gpt-5.5,manifest_family,linux_smarthome,30,11,0.36666666666666664,0.6583333333333333,11,0.36666666666666664,0.6583333333333333,6.033333333333333,6.5,391.71413333333334,352.406,0,0,0,19,19,17,0.4605263157894737,18,0.4868421052631579
