model,dimension,subgroup,N,success_count,success_rate,mean_score,adjudicated_success_count,adjudicated_success_rate,adjudicated_mean_score,average_steps,median_steps,average_duration,median_duration,step_limit_reached,wall_time_limit_reached,budget_exhaustion,declared_complete_but_failed,failed_N,failed_with_positive_score,mean_failed_score,failed_with_any_satisfied_scoring_condition,mean_failed_scoring_condition_fraction
claude-opus-4-8,manifest_family,linux_smarthome,30,14,0.4666666666666667,0.725,14,0.4666666666666667,0.725,6.566666666666666,6.0,252.17713333333333,240.6025,0,0,0,16,16,15,0.484375,16,0.515625
claude-opus-4-8,manifest_family,real100,8,3,0.375,0.4166666666666667,3,0.375,0.4166666666666667,25.375,23.5,1073.543875,1006.156,0,3,3,2,5,1,0.06666666666666667,1,0.06666666666666667
claude-opus-4-8,manifest_family,real200,10,3,0.3,0.45,3,0.3,0.45,28.6,26.0,779.163,658.9975,3,2,5,2,7,3,0.21428571428571427,3,0.21428571428571427
claude-opus-4-8,manifest_family,real300,12,5,0.4166666666666667,0.4861111111111111,5,0.4166666666666667,0.4861111111111111,27.083333333333332,23.0,842.2919166666667,725.239,4,1,5,2,7,2,0.11904761904761904,2,0.11904761904761904
claude-opus-4-8,manifest_family,smarthome_generated_scripted,10,4,0.4,0.6,4,0.4,0.6,4,3.0,52.7651,21.180999999999997,0,0,0,6,6,4,0.3333333333333333,4,0.3333333333333333
claude-opus-4-8,task_difficulty,Complex,7,1,0.14285714285714285,0.30952380952380953,1,0.14285714285714285,0.30952380952380953,33.714285714285715,40,957.0405714285714,803.899,3,1,4,2,6,3,0.19444444444444445,3,0.19444444444444445
claude-opus-4-8,task_difficulty,Medium,15,7,0.4666666666666667,0.5666666666666667,7,0.4666666666666667,0.5666666666666667,25.533333333333335,26,844.9102666666666,657.111,2,3,5,3,8,3,0.1875,3,0.1875
claude-opus-4-8,task_difficulty,NA,170,64,0.3764705882352941,0.6072549019607844,64,0.3764705882352941,0.6072549019607844,19.264705882352942,13.0,566.3294823529412,374.7765,25,17,42,64,106,73,0.370125786163522,74,0.37484276729559746
claude-opus-4-8,task_difficulty,Simple,8,3,0.375,0.375,3,0.375,0.375,24.375,15.5,889.31825,543.6225000000001,2,2,4,1,5,0,0.0,0,0.0
claude-opus-4-8,motif,M2,6,2,0.3333333333333333,0.3333333333333333,2,0.3333333333333333,0.3333333333333333,18,11.5,833.2978333333333,489.31100000000004,1,1,2,2,4,0,0.0,0,0.0
claude-opus-4-8,motif,M3,10,5,0.5,0.5333333333333333,5,0.5,0.5333333333333333,28.3,33.5,866.5349,674.4205,2,3,5,0,5,1,0.06666666666666667,1,0.06666666666666667
claude-opus-4-8,motif,M4,2,0,0,0.0,0,0,0.0,40,40.0,1471.7065,1471.7065,1,1,2,0,2,0,0.0,0,0.0
claude-opus-4-8,motif,M5,7,3,0.42857142857142855,0.5952380952380952,3,0.42857142857142855,0.5952380952380952,28.142857142857142,27,871.9431428571429,748.484,1,1,2,2,4,2,0.29166666666666663,2,0.29166666666666663
claude-opus-4-8,motif,M6,4,0,0,0.29166666666666663,0,0,0.29166666666666663,32.25,35.0,836.836,707.4125,2,0,2,2,4,3,0.29166666666666663,3,0.29166666666666663
claude-opus-4-8,motif,M7,1,1,1,1.0,1,1,1.0,17,17,427.989,427.989,0,0,0,0,0,0,NA,0,NA
claude-opus-4-8,motif,NA,170,64,0.3764705882352941,0.6072549019607844,64,0.3764705882352941,0.6072549019607844,19.264705882352942,13.0,566.3294823529412,374.7765,25,17,42,64,106,73,0.370125786163522,74,0.37484276729559746
claude-opus-4-8,workflow_pattern,NA,200,75,0.375,0.5845,75,0.375,0.5845,20.445,14.0,613.81748,382.453,32,23,55,70,125,79,0.3352,80,0.3392
claude-opus-4-8,total_evaluators,1,51,30,0.5882352941176471,0.5882352941176471,30,0.5882352941176471,0.5882352941176471,19.137254901960784,8,639.0067647058823,375.731,7,6,13,8,21,0,0.0,0,0.0
claude-opus-4-8,total_evaluators,2,62,20,0.3225806451612903,0.5483870967741935,20,0.3225806451612903,0.5483870967741935,19.080645161290324,13.5,584.201564516129,382.453,8,9,17,25,42,28,0.3333333333333333,28,0.3333333333333333
claude-opus-4-8,total_evaluators,3,50,11,0.22,0.5766666666666667,11,0.22,0.5766666666666667,23.06,19.0,657.18558,424.1305,9,6,15,24,39,33,0.45726495726495725,33,0.45726495726495725
claude-opus-4-8,total_evaluators,4,21,8,0.38095238095238093,0.6785714285714286,8,0.38095238095238093,0.6785714285714286,22.095238095238095,20,607.8312380952381,478.643,4,1,5,8,13,11,0.4807692307692308,11,0.4807692307692308
claude-opus-4-8,total_evaluators,5,6,1,0.16666666666666666,0.4,1,0.16666666666666666,0.4,26,23.5,731.5298333333333,436.1715,2,1,3,2,5,3,0.28,3,0.28
claude-opus-4-8,total_evaluators,6,5,2,0.4,0.7333333333333334,2,0.4,0.7333333333333334,23.4,7,490.44939999999997,396.03,2,0,2,1,3,3,0.5555555555555556,3,0.5555555555555556
claude-opus-4-8,total_evaluators,7,3,2,0.6666666666666666,0.9166666666666666,2,0.6666666666666666,0.9166666666666666,9.666666666666666,9,324.84,342.707,0,0,0,1,1,1,0.75,1,0.75
claude-opus-4-8,total_evaluators,8,2,1,0.5,0.5,1,0.5,0.5,5.5,5.5,256.9865,256.9865,0,0,0,1,1,0,0.0,1,0.5
claude-opus-4-8,scoring_evaluators,1,64,37,0.578125,0.578125,37,0.578125,0.578125,19.84375,8.0,620.300078125,357.8155,11,7,18,9,27,0,0.0,0,0.0
claude-opus-4-8,scoring_evaluators,2,79,28,0.35443037974683544,0.6075949367088608,28,0.35443037974683544,0.6075949367088608,15.113924050632912,9,496.9290886075949,329.959,6,8,14,37,51,40,0.39215686274509803,41,0.4019607843137255
claude-opus-4-8,scoring_evaluators,3,33,3,0.09090909090909091,0.505050505050505,3,0.09090909090909091,0.505050505050505,27.848484848484848,25,814.4869393939395,558.358,7,6,13,17,30,25,0.45555555555555555,25,0.45555555555555555
claude-opus-4-8,scoring_evaluators,4,18,5,0.2777777777777778,0.6388888888888888,5,0.2777777777777778,0.6388888888888888,28,24.0,663.4185555555556,602.566,5,1,6,7,13,11,0.5,11,0.5
claude-opus-4-8,scoring_evaluators,5,4,2,0.5,0.6,2,0.5,0.6,25.5,23.5,851.29975,654.5935,1,1,2,0,2,1,0.2,1,0.2
claude-opus-4-8,scoring_evaluators,6,2,0,0,0.6666666666666667,0,0,0.6666666666666667,50,50.0,791.0455,791.0455,2,0,2,0,2,2,0.6666666666666667,2,0.6666666666666667
claude-opus-4-8,single_output_vs_multi_output,NA,200,75,0.375,0.5845,75,0.375,0.5845,20.445,14.0,613.81748,382.453,32,23,55,70,125,79,0.3352,80,0.3392
